scope,metric,group_a,group_b,label,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_diff,mean_diff_lo,mean_diff_hi,median_diff,median_diff_lo,median_diff_hi,mw_U,mw_p,cliffs_delta,cliffs_delta_lo,cliffs_delta_hi,magnitude,family,tier,model,note
class_notumor,VGG_ptrue,shared,nonshared,class_notumor: VGG16 own errors shared vs nonshared [ptrue] notumor,0,1,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,VGG16,skipped (n<5)
class_notumor,ResNet_conf,shared,nonshared,class_notumor: ResNet50 own errors shared vs nonshared [conf] notumor,0,0,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,ResNet50,skipped (n<5)
class_notumor,ResNet_ptrue,shared,nonshared,class_notumor: ResNet50 own errors shared vs nonshared [ptrue] notumor,0,0,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,ResNet50,skipped (n<5)
class_notumor,EffNet_conf,shared,nonshared,class_notumor: EfficientNetB0 own errors shared vs nonshared [conf] notumor,0,5,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,EfficientNetB0,skipped (n<5)
class_notumor,EffNet_ptrue,shared,nonshared,class_notumor: EfficientNetB0 own errors shared vs nonshared [ptrue] notumor,0,5,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,EfficientNetB0,skipped (n<5)
class_pituitary,mean_conf,shared_failure,one_model_failure,class_pituitary: shared_failure vs one_model_failure [mean_conf] pituitary,2,9,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_pituitary,min_conf,shared_failure,one_model_failure,class_pituitary: shared_failure vs one_model_failure [min_conf] pituitary,2,9,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_pituitary,conf_range,shared_failure,one_model_failure,class_pituitary: shared_failure vs one_model_failure [conf_range] pituitary,2,9,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_pituitary,mean_ptrue,shared_failure,one_model_failure,class_pituitary: shared_failure vs one_model_failure [mean_ptrue] pituitary,2,9,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_pituitary,min_ptrue,shared_failure,one_model_failure,class_pituitary: shared_failure vs one_model_failure [min_ptrue] pituitary,2,9,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_pituitary,mean_conf_wrong_models,shared_failure,one_model_failure,class_pituitary: shared_failure vs one_model_failure [mean_conf_wrong_models] pituitary,2,9,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_pituitary,mean_ptrue_wrong_models,shared_failure,one_model_failure,class_pituitary: shared_failure vs one_model_failure [mean_ptrue_wrong_models] pituitary,2,9,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_pituitary,VGG_conf,shared,nonshared,class_pituitary: VGG16 own errors shared vs nonshared [conf] pituitary,2,1,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,VGG16,skipped (n<5)
class_pituitary,VGG_ptrue,shared,nonshared,class_pituitary: VGG16 own errors shared vs nonshared [ptrue] pituitary,2,1,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,VGG16,skipped (n<5)
class_pituitary,ResNet_conf,shared,nonshared,class_pituitary: ResNet50 own errors shared vs nonshared [conf] pituitary,2,1,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,ResNet50,skipped (n<5)
class_pituitary,ResNet_ptrue,shared,nonshared,class_pituitary: ResNet50 own errors shared vs nonshared [ptrue] pituitary,2,1,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,ResNet50,skipped (n<5)
class_pituitary,EffNet_conf,shared,nonshared,class_pituitary: EfficientNetB0 own errors shared vs nonshared [conf] pituitary,2,7,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,EfficientNetB0,skipped (n<5)
class_pituitary,EffNet_ptrue,shared,nonshared,class_pituitary: EfficientNetB0 own errors shared vs nonshared [ptrue] pituitary,2,7,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,EfficientNetB0,skipped (n<5)
