model,coverage,risk
VGG16,0.223125,0.014005602240896359
VGG16,0.22375,0.013966480446927373
VGG16,0.224375,0.013927576601671309
VGG16,0.225,0.013888888888888888
VGG16,0.225625,0.013850415512465374
VGG16,0.22625,0.013812154696132596
VGG16,0.226875,0.013774104683195593
VGG16,0.2275,0.013736263736263736
VGG16,0.228125,0.0136986301369863
VGG16,0.22875,0.01366120218579235
VGG16,0.229375,0.013623978201634877
VGG16,0.23,0.01358695652173913
VGG16,0.230625,0.013550135501355014
VGG16,0.23125,0.013513513513513514
VGG16,0.231875,0.013477088948787063
VGG16,0.2325,0.013440860215053764
VGG16,0.233125,0.013404825737265416
VGG16,0.23375,0.013368983957219251
VGG16,0.234375,0.013333333333333334
VGG16,0.235,0.013297872340425532
VGG16,0.235625,0.013262599469496022
VGG16,0.23625,0.013227513227513227
VGG16,0.236875,0.013192612137203167
VGG16,0.2375,0.013157894736842105
VGG16,0.238125,0.013123359580052493
VGG16,0.23875,0.013089005235602094
VGG16,0.239375,0.013054830287206266
VGG16,0.24,0.013020833333333334
VGG16,0.240625,0.012987012987012988
VGG16,0.24125,0.012953367875647668
VGG16,0.241875,0.012919896640826873
VGG16,0.2425,0.01288659793814433
VGG16,0.243125,0.012853470437017995
VGG16,0.24375,0.01282051282051282
VGG16,0.244375,0.01278772378516624
VGG16,0.245,0.012755102040816327
VGG16,0.245625,0.01272264631043257
VGG16,0.24625,0.012690355329949238
VGG16,0.246875,0.012658227848101266
VGG16,0.2475,0.012626262626262626
VGG16,0.248125,0.012594458438287154
VGG16,0.24875,0.01256281407035176
VGG16,0.249375,0.012531328320802004
VGG16,0.25,0.0125
VGG16,0.250625,0.012468827930174564
VGG16,0.25125,0.012437810945273632
VGG16,0.251875,0.01240694789081886
VGG16,0.2525,0.012376237623762377
VGG16,0.253125,0.012345679012345678
VGG16,0.25375,0.012315270935960592
VGG16,0.254375,0.012285012285012284
VGG16,0.255,0.012254901960784314
VGG16,0.255625,0.012224938875305624
VGG16,0.25625,0.012195121951219513
VGG16,0.256875,0.012165450121654502
VGG16,0.2575,0.012135922330097087
VGG16,0.258125,0.012106537530266344
VGG16,0.25875,0.012077294685990338
VGG16,0.259375,0.012048192771084338
VGG16,0.26,0.01201923076923077
VGG16,0.260625,0.011990407673860911
VGG16,0.26125,0.011961722488038277
VGG16,0.261875,0.011933174224343675
VGG16,0.2625,0.011904761904761904
VGG16,0.263125,0.011876484560570071
VGG16,0.26375,0.011848341232227487
VGG16,0.264375,0.01182033096926714
VGG16,0.265,0.01179245283018868
VGG16,0.265625,0.011764705882352941
VGG16,0.26625,0.011737089201877934
VGG16,0.266875,0.0117096018735363
VGG16,0.2675,0.011682242990654205
VGG16,0.268125,0.011655011655011656
VGG16,0.26875,0.011627906976744186
VGG16,0.269375,0.01160092807424594
VGG16,0.27,0.011574074074074073
VGG16,0.270625,0.011547344110854504
VGG16,0.27125,0.01152073732718894
VGG16,0.271875,0.011494252873563218
VGG16,0.2725,0.011467889908256881
VGG16,0.273125,0.011441647597254004
VGG16,0.27375,0.01141552511415525
VGG16,0.274375,0.011389521640091117
VGG16,0.275,0.011363636363636364
VGG16,0.275625,0.011337868480725623
VGG16,0.27625,0.011312217194570135
VGG16,0.276875,0.011286681715575621
VGG16,0.2775,0.01126126126126126
VGG16,0.278125,0.011235955056179775
VGG16,0.27875,0.011210762331838564
VGG16,0.279375,0.011185682326621925
VGG16,0.28,0.011160714285714286
VGG16,0.280625,0.011135857461024499
VGG16,0.28125,0.011111111111111112
VGG16,0.281875,0.011086474501108648
VGG16,0.2825,0.011061946902654867
VGG16,0.283125,0.011037527593818985
VGG16,0.28375,0.011013215859030838
VGG16,0.284375,0.01098901098901099
VGG16,0.285,0.010964912280701754
VGG16,0.285625,0.010940919037199124
VGG16,0.28625,0.010917030567685589
VGG16,0.286875,0.010893246187363835
VGG16,0.2875,0.010869565217391304
VGG16,0.288125,0.010845986984815618
VGG16,0.28875,0.010822510822510822
VGG16,0.289375,0.01079913606911447
VGG16,0.29,0.010775862068965518
VGG16,0.290625,0.010752688172043012
VGG16,0.29125,0.01072961373390558
VGG16,0.291875,0.010706638115631691
VGG16,0.2925,0.010683760683760684
VGG16,0.293125,0.010660980810234541
VGG16,0.29375,0.010638297872340425
VGG16,0.294375,0.010615711252653927
VGG16,0.295,0.01059322033898305
VGG16,0.295625,0.010570824524312896
VGG16,0.29625,0.010548523206751054
VGG16,0.296875,0.010526315789473684
VGG16,0.2975,0.01050420168067227
VGG16,0.298125,0.010482180293501049
VGG16,0.29875,0.012552301255230125
VGG16,0.299375,0.012526096033402923
VGG16,0.3,0.0125
VGG16,0.300625,0.012474012474012475
VGG16,0.30125,0.012448132780082987
VGG16,0.301875,0.012422360248447204
VGG16,0.3025,0.012396694214876033
VGG16,0.303125,0.012371134020618556
VGG16,0.30375,0.012345679012345678
VGG16,0.304375,0.012320328542094456
VGG16,0.305,0.012295081967213115
